Fecha;Hora;"Gx Eólica
[MW]";"Gx. Geotérmica
[MW]";"Gx Hidráulica Pasada
[MW]";"Gx Hidráulica Embalse
[MW]";"Gx Solar
[MW]"
04-09-2020;4;451,9288732;25,6526;259,3282098;1684,08626;0
04-09-2020;5;577,8646072;25,5219;257,7516267;1627,7681;0
04-09-2020;6;502,6120503;25,5185;253,3143066;1903,42798;0
04-09-2020;7;380,4789964;25,5274;250,1762886;2179,24728;2,08097608
04-09-2020;8;331,2441076;25,3732;249,8144559;2129,55696;332,128181
04-09-2020;9;189,8245687;24,7554;248,4205119;2245,81784;1189,870695
04-09-2020;10;87,15183099;24,2713;228,4951499;2359,24284;1794,493064
04-09-2020;11;81,14794465;23,2062;240,0761983;1970,48912;2233,163804
04-09-2020;12;164,6929548;22,6466;244,4133134;1855,13928;2381,658881
04-09-2020;13;232,8751163;22,7443;246,2514839;1745,20074;2448,673882
04-09-2020;14;287,6680167;24,1981;258,4244221;1624,002;2476,336033
04-09-2020;15;337,3381159;24,9575;269,1466855;1492,30184;2435,385687
04-09-2020;16;379,1014913;21,1458;268,0519041;1474,2782;2373,341814
04-09-2020;17;397,063659;18,2232;270,5908976;1549,46308;2031,35777
04-09-2020;18;363,2297476;26,3058;273,2832712;1893,53038;1065,45371
04-09-2020;19;315,9003154;26,7249;271,6623813;2594,88858;99,11011704
04-09-2020;20;304,2573679;26,602;279,6804526;2959,20514;1,870847307
04-09-2020;21;275,5614491;27,1274;288,7200828;2797,41956;0
04-09-2020;22;231,2331606;26,8914;287,4786567;2711,72908;0
04-09-2020;23;252,9674767;26,762;284,6480346;2410,77008;0
04-09-2020;24;298,2202536;27,4358;287,4910497;2231,01682;0
05-09-2020;1;302,9613483;27,8579;269,9868019;1937,997;0
05-09-2020;2;297,648493;28,1763;267,0988617;1868,55282;0
05-09-2020;3;251,9808411;27,8327;264,6191158;1916,06106;0
05-09-2020;4;230,0555425;28,4646;261,3431061;1735,87944;0
05-09-2020;5;255,6030552;28,2373;261,0656836;1657,82882;0
05-09-2020;6;276,8197738;28,174;262,9833628;1733,61554;0
05-09-2020;7;305,5244743;28,4394;258,7790771;1914,009;1,78474824
05-09-2020;8;352,3950566;27,96;256,3875532;1798,84088;404,568207
05-09-2020;9;258,4736383;27,1597;250,5057734;1529,69964;1459,055494
05-09-2020;10;223,4911072;26,4579;249,2790918;1625,2038;2061,358194
05-09-2020;11;230,2963351;23,1663;252,6603209;1517,09518;2302,459077
05-09-2020;12;386,5814982;24,9636;258,0247199;1365,54904;2319,196617
05-09-2020;13;512,5785089;24,7778;257,0722713;1468,03856;2391,347494
05-09-2020;14;628,8887644;24,3237;255,5861001;1452,7569;2335,905627
05-09-2020;15;745,3276865;24,309;256,625681;1412,08656;2316,659861
05-09-2020;16;806,325859;24,5716;252,8447656;1352,50744;2244,425643
05-09-2020;17;819,0762522;24,8497;255,7643109;1377,03086;2055,845053
05-09-2020;18;834,1906057;25,4559;264,8834177;1454,83346;1165,965615
05-09-2020;19;780,3054785;26,0693;269,5820969;2025,85796;156,4059559
05-09-2020;20;651,0801157;27,2967;282,1649981;2342,8376;5,393765164
05-09-2020;21;644,0306535;27,3484;295,1040657;2175,45332;0
05-09-2020;22;696,6133311;27,3645;294,2828695;2130,77296;0
05-09-2020;23;772,0174782;28,0283;286,4790375;2073,36612;0
05-09-2020;24;783,796635;28,2293;281,4119221;2055,132278;0
06-09-2020;1;834,9505799;28,18425;270,9243418;1982,086329;0
06-09-2020;2;886,1045247;28,1392;260,4367615;1909,04038;0
06-09-2020;3;927,6799703;28,1244;256,6493143;1800,03468;0
06-09-2020;4;925,8380435;27,9599;253,3470466;1743,2934;0
06-09-2020;5;933,1811582;28,0415;253,1010641;1644,59738;0
06-09-2020;6;890,5947055;28,1308;254,6335862;1656,80242;0
06-09-2020;7;828,0958304;27,8571;253,6294949;1705,35718;0,181629087
06-09-2020;8;852,5724092;27,8224;248,1666102;1809,99878;50,73651298
06-09-2020;9;786,2731552;27,3555;239,8213673;1612,63684;696,7401646
06-09-2020;10;528,5632947;20,3965;241,1149506;1220,96534;1886,336657
06-09-2020;11;460,0813749;6,2826;242,0808622;1321,62842;2255,542795
06-09-2020;12;412,8712919;17,8223;246,2987966;1314,30206;2428,766183
06-09-2020;13;365,6722587;23,594;244,3347613;1353,72404;2464,75306
06-09-2020;14;485,1277777;24,0842;244,1859499;1403,70678;2464,971881
06-09-2020;15;636,7735261;23,354;241,5599641;1470,46504;2359,225981
06-09-2020;16;778,3007759;22,8115;243,7431562;1393,35134;2297,154984
06-09-2020;17;789,5569703;10,8812;245,7717455;1547,78378;1968,323517
06-09-2020;18;915,2291185;10,8603;248,5788937;1392,38842;1781,73699
06-09-2020;19;952,1038039;25,2937;261,0134377;1417,67428;885,2157962
06-09-2020;20;798,4147586;25,9841;279,0710121;1894,15648;41,18878961
06-09-2020;21;601,9222556;25,6432;288,698061;2255,77404;0
06-09-2020;22;336,8732061;26,2843;290,7828137;2229,18908;0
06-09-2020;23;219,9024245;26,2223;285,8203102;2091,02864;0
06-09-2020;24;194,3307027;26,9607;280,7205137;1841,98434;0
07-09-2020;1;242,4332376;27,184;247,2992244;1849,213;0
07-09-2020;2;292,2477761;26,8925;240,4662363;1813,97794;0
07-09-2020;3;282,9162757;26,9743;241,9801679;1977,02888;0
07-09-2020;4;299,7646942;26,5725;239,4332318;1939,219;0
07-09-2020;5;283,1020424;26,4751;240,6498893;1727,78462;0
07-09-2020;6;352,1967949;26,6188;242,1201259;1602,754;0
07-09-2020;7;452,7759886;27,0662;238,9929201;1544,49442;0
07-09-2020;8;539,440821;27,2408;253,5342689;1671,07974;2,337281992
07-09-2020;9;674,1295466;26,9775;248,0216398;1636,42938;519,6600111
07-09-2020;10;475,1441707;25,6994;246,3367918;1895,7638;1487,882164
07-09-2020;11;471,6710684;25,1851;253,209544;1924,48948;2040,641198
07-09-2020;12;383,4425476;24,791;254,2527833;2021,9662;2146,018803
07-09-2020;13;529,1570495;24,3202;253,663696;1638,37542;2354,180541
07-09-2020;14;717,9921102;24,5903;254,3182743;1514,29756;2479,630795
07-09-2020;15;984,3667369;24,3561;251,6770735;1500,00442;2506,649578
07-09-2020;16;998,559358;15,1973;251,9961638;1587,82666;2345,248136
07-09-2020;17;934,1917453;8,0812;263,2343327;1540,95396;2155,455697
07-09-2020;18;1023,296486;15,6499;263,201401;1366,73116;1915,82543
07-09-2020;19;1193,174182;26,4891;267,6715167;1665,47102;1004,909964
07-09-2020;20;1228,143152;27,233;278,5012489;2146,81074;52,16445485
07-09-2020;21;1082,243514;27,3414;285,2799697;2112,58972;0
07-09-2020;22;949,8489406;27,4147;283,9156066;2236,76776;0
07-09-2020;23;707,1773661;27,5939;278,3586594;2210,35204;0
07-09-2020;24;497,3688914;27,5291;275,8700406;2082,92072;0
08-09-2020;1;322,1518402;27,9251;247,7874409;2053,37776;0
08-09-2020;2;388,1843247;27,8862;246,0115883;1632,561;0
08-09-2020;3;501,0813477;27,7504;248,4907041;1446,31372;0
08-09-2020;4;546,1514887;27,8176;250,6766303;1445,18506;0
08-09-2020;5;527,1752051;28,0949;251,880921;1592,65656;0
08-09-2020;6;479,5109731;28,1337;253,4052573;1641,91298;0
08-09-2020;7;335,1014958;28,086;255,1452587;1816,3977;0
08-09-2020;8;402,9580465;27,8627;255,9207264;1910,2861;17,27438408
08-09-2020;9;443,8104322;27,2872;257,9012873;2032,57408;458,1618681
08-09-2020;10;474,005516;26,2975;264,9536335;1852,29054;1265,266563
08-09-2020;11;371,6174373;25,2256;271,0669159;2133,09314;1745,297673
08-09-2020;12;313,9855015;24,3534;278,0637528;2165,9974;1951,928453
08-09-2020;13;287,8989737;23,765;288,8195951;2214,5783;2073,805875
08-09-2020;14;363,7089242;23,4374;293,9470107;2187,49684;2072,972805
08-09-2020;15;630,6628727;23,5184;296,0904793;1957,26116;2052,984304
08-09-2020;16;703,7017178;23,8838;294,371414;1948,43896;2002,759348
08-09-2020;17;841,5141033;23,9655;301,2037729;1856,06596;1924,077146
08-09-2020;18;848,2732203;24,6603;296,6689844;2027,7895;1653,567109
08-09-2020;19;797,567512;25,3699;309,4124033;2238,6594;817,3326855
08-09-2020;20;785,718365;25,941;321,2852722;2689,11568;37,12102918
08-09-2020;21;591,9043837;26,5524;323,1242628;2966,60914;0
08-09-2020;22;491,6107421;26,6246;325,1037245;2918,0442;0
08-09-2020;23;482,9810439;26,6396;323,5179761;2632,49436;0
08-09-2020;24;518,5356273;26,7739;303,3407733;2061,61502;0
09-09-2020;1;580,5580526;26,9348;299,6817528;1611,62;0
09-09-2020;2;587,8428671;27,0386;296,0313713;1476,167;0
09-09-2020;3;566,8351993;26,8833;286,4499401;1613,78;0
09-09-2020;4;619,5987679;26,9135;284,3470926;1694,3075;0
09-09-2020;5;667,746745;26,3473;282,3277106;1596,8515;0
09-09-2020;6;626,9176053;26,0481;278,8790612;1690,476;0
09-09-2020;7;633,4292474;26,5981;275,1466243;1571,9285;0
09-09-2020;8;639,3724506;26,0145;276,3970749;1771,13;26,69601556
09-09-2020;9;601,1852073;25,7586;278,7241653;1888,3905;682,3269729
09-09-2020;10;587,6465656;25,9299;276,0840552;1730,261;1834,18355
09-09-2020;11;591,6533761;25,201;275,2601847;1657,736;2363,170093
09-09-2020;12;689,6603039;24,2981;280,0837634;1573,654;2511,435419
09-09-2020;13;800,1759182;24,4845;277,3274365;1713,0775;2516,959934
09-09-2020;14;940,3051367;23,9468;273,8998583;1669,177;2505,934401
09-09-2020;15;1079,327315;23,9158;273,965771;1580,7955;2530,639036
09-09-2020;16;1153,299845;24,1049;275,4195117;1641,211;2485,657631
09-09-2020;17;1166,737436;24,2675;282,1867389;1697,4735;2386,516217
09-09-2020;18;1257,618357;24,6153;283,580215;1662,1165;2060,573806
09-09-2020;19;1317,375206;25,0116;300,8369095;1856,1125;1008,041471
09-09-2020;20;1172,373161;25,9173;306,759945;2265,2765;46,98483674
09-09-2020;21;1057,531098;26,3437;310,8761153;2468,9365;0
09-09-2020;22;1060,640209;26,6608;307,78981;2455,1695;0
09-09-2020;23;1087,622353;27,0841;309,3292991;2265,6865;0
09-09-2020;24;1136,620078;27,7528;297,6361699;2057,8095;0
10-09-2020;1;1073,752731;27,5792;300,372659;2087,72966;0
10-09-2020;2;960,7376358;27,8705;299,0169482;1866,12624;0
10-09-2020;3;1069,583318;27,4367;297,4645889;1491,51244;0
10-09-2020;4;1143,961611;21,5443;284,5979824;1495,06148;0
10-09-2020;5;1157,774891;14,3104;288,5234661;1519,43138;0
