Fecha;Hora;"Demanda
[MW]"
10-09-2020;16;9127
10-09-2020;17;9037
10-09-2020;18;8724
10-09-2020;19;8613
10-09-2020;20;9113
10-09-2020;21;9537
10-09-2020;22;9574
10-09-2020;23;9353
10-09-2020;24;8987
11-09-2020;1;8580
11-09-2020;2;8221
11-09-2020;3;7976
11-09-2020;4;7802
11-09-2020;5;7820
11-09-2020;6;7832
11-09-2020;7;8075
11-09-2020;8;8393
11-09-2020;9;8759
11-09-2020;10;9131
11-09-2020;11;9240
11-09-2020;12;9303
11-09-2020;13;9184
11-09-2020;14;9151
11-09-2020;15;9090
11-09-2020;16;8973
11-09-2020;17;8761
11-09-2020;18;8487
11-09-2020;19;8407
11-09-2020;20;8905
11-09-2020;21;9563
11-09-2020;22;9523
11-09-2020;23;9353
11-09-2020;24;8977
12-09-2020;1;8569
12-09-2020;2;8161
12-09-2020;3;7868
12-09-2020;4;7649
12-09-2020;5;7572
12-09-2020;6;7571
12-09-2020;7;7610
12-09-2020;8;7691
12-09-2020;9;7827
12-09-2020;10;8113
12-09-2020;11;8342
12-09-2020;12;8483
12-09-2020;13;8473
12-09-2020;14;8491
12-09-2020;15;8469
12-09-2020;16;8355
12-09-2020;17;8204
12-09-2020;18;8051
12-09-2020;19;8148
12-09-2020;20;8606
12-09-2020;21;9156
12-09-2020;22;9034
12-09-2020;23;8781
12-09-2020;24;8559
13-09-2020;1;8204
13-09-2020;2;7799
13-09-2020;3;7537
13-09-2020;4;7338
13-09-2020;5;7244
13-09-2020;6;7213
13-09-2020;7;7217
13-09-2020;8;7238
13-09-2020;9;7190
13-09-2020;10;7449
13-09-2020;11;7744
13-09-2020;12;7918
13-09-2020;13;8020
13-09-2020;14;8135
13-09-2020;15;8123
13-09-2020;16;7981
13-09-2020;17;7850
13-09-2020;18;7687
13-09-2020;19;7764
13-09-2020;20;8358
13-09-2020;21;9128
13-09-2020;22;9167
13-09-2020;23;8928
13-09-2020;24;8526
14-09-2020;1;8115
14-09-2020;2;7757
14-09-2020;3;7565
14-09-2020;4;7449
14-09-2020;5;7448
14-09-2020;6;7493
14-09-2020;7;7774
14-09-2020;8;8165
14-09-2020;9;8654
14-09-2020;10;9110
14-09-2020;11;9216
14-09-2020;12;9305
14-09-2020;13;9264
14-09-2020;14;9322
14-09-2020;15;9283
14-09-2020;16;9146
14-09-2020;17;9129
14-09-2020;18;8880
14-09-2020;19;8670
14-09-2020;20;9082
14-09-2020;21;9635
14-09-2020;22;9540
14-09-2020;23;9354
14-09-2020;24;8924
15-09-2020;1;8542
15-09-2020;2;8138
15-09-2020;3;7888
15-09-2020;4;7777
15-09-2020;5;7762
15-09-2020;6;7839
15-09-2020;7;8079
15-09-2020;8;8374
15-09-2020;9;8765
15-09-2020;10;9136
15-09-2020;11;9257
15-09-2020;12;9395
15-09-2020;13;9355
15-09-2020;14;9320
15-09-2020;15;9348
15-09-2020;16;9191
15-09-2020;17;9052
15-09-2020;18;8799
15-09-2020;19;8809
15-09-2020;20;9354
15-09-2020;21;9833
15-09-2020;22;9775
15-09-2020;23;9496
15-09-2020;24;9138
16-09-2020;1;8621
16-09-2020;2;8178
16-09-2020;3;7892
16-09-2020;4;7756
16-09-2020;5;7675
16-09-2020;6;7711
16-09-2020;7;7888
16-09-2020;8;8214
16-09-2020;9;8656
16-09-2020;10;9009
16-09-2020;11;9178
16-09-2020;12;9160
16-09-2020;13;9145
16-09-2020;14;9116
16-09-2020;15;9065
16-09-2020;16;8949
16-09-2020;17;8846
16-09-2020;18;8615
16-09-2020;19;8578
16-09-2020;20;8999
16-09-2020;21;9628
16-09-2020;22;9604
16-09-2020;23;9394
16-09-2020;24;9110
17-09-2020;1;8706
17-09-2020;2;8198
17-09-2020;3;7965
17-09-2020;4;7801
17-09-2020;5;7753
17-09-2020;6;7813
17-09-2020;7;8015
17-09-2020;8;8258
17-09-2020;9;8674
17-09-2020;10;8976
17-09-2020;11;9105
17-09-2020;12;9042
17-09-2020;13;8964
17-09-2020;14;8853
17-09-2020;15;8702
17-09-2020;16;8565
17-09-2020;17;8384
17-09-2020;18;8238
17-09-2020;19;8189
17-09-2020;20;8587
17-09-2020;21;9114
17-09-2020;22;9063
17-09-2020;23;8845
17-09-2020;24;8572
18-09-2020;1;8179
18-09-2020;2;7812
18-09-2020;3;7608
18-09-2020;4;7394
18-09-2020;5;7311
18-09-2020;6;7268
18-09-2020;7;7299
18-09-2020;8;7257
18-09-2020;9;7179
18-09-2020;10;7481
18-09-2020;11;7691
18-09-2020;12;7832
18-09-2020;13;7953
18-09-2020;14;7976
18-09-2020;15;7851
18-09-2020;16;7674
18-09-2020;17;7550
18-09-2020;18;7453
18-09-2020;19;7614
18-09-2020;20;7909
18-09-2020;21;8539
18-09-2020;22;8676
18-09-2020;23;8474
18-09-2020;24;8217
19-09-2020;1;7919
19-09-2020;2;7627
19-09-2020;3;7365
19-09-2020;4;7256
19-09-2020;5;7196
19-09-2020;6;7145
19-09-2020;7;7130
19-09-2020;8;6994
19-09-2020;9;6837
19-09-2020;10;7135
19-09-2020;11;7571
19-09-2020;12;7787
19-09-2020;13;7899
19-09-2020;14;8001
19-09-2020;15;7915
19-09-2020;16;7723
19-09-2020;17;7636
19-09-2020;18;7572
19-09-2020;19;7658
19-09-2020;20;8059
19-09-2020;21;8775
19-09-2020;22;8808
19-09-2020;23;8560
19-09-2020;24;8258
20-09-2020;1;7841
20-09-2020;2;7622
20-09-2020;3;7361
20-09-2020;4;7249
20-09-2020;5;7188
20-09-2020;6;7127
20-09-2020;7;7140
20-09-2020;8;7140
20-09-2020;9;7121
20-09-2020;10;7386
20-09-2020;11;7656
20-09-2020;12;7874
20-09-2020;13;8037
20-09-2020;14;8170
20-09-2020;15;8163
20-09-2020;16;7991
20-09-2020;17;7804
20-09-2020;18;7740
20-09-2020;19;7916
20-09-2020;20;8309
20-09-2020;21;9040
20-09-2020;22;9099
20-09-2020;23;8829
20-09-2020;24;8472
21-09-2020;1;8098
21-09-2020;2;7773
21-09-2020;3;7561
21-09-2020;4;7423
21-09-2020;5;7403
21-09-2020;6;7491
21-09-2020;7;7748
21-09-2020;8;8135
21-09-2020;9;8593
21-09-2020;10;9084
21-09-2020;11;9305
21-09-2020;12;9372
21-09-2020;13;9367
21-09-2020;14;9454
21-09-2020;15;9437
21-09-2020;16;9342
21-09-2020;17;9294
21-09-2020;18;9007
21-09-2020;19;8868
21-09-2020;20;9197
21-09-2020;21;9733
21-09-2020;22;9653
21-09-2020;23;9384
21-09-2020;24;8943
22-09-2020;1;8496
22-09-2020;2;8159
22-09-2020;3;7921
22-09-2020;4;7837
22-09-2020;5;7796
22-09-2020;6;7814
22-09-2020;7;8014
22-09-2020;8;8274
22-09-2020;9;8697
22-09-2020;10;9118
22-09-2020;11;9236
22-09-2020;12;9274
22-09-2020;13;9330
22-09-2020;14;9415
22-09-2020;15;9373
22-09-2020;16;9221
22-09-2020;17;9059
22-09-2020;18;8792
22-09-2020;19;8649
22-09-2020;20;8946
22-09-2020;21;9602
22-09-2020;22;9478
22-09-2020;23;9240
22-09-2020;24;8859
23-09-2020;1;8502
23-09-2020;2;8099
23-09-2020;3;7868
23-09-2020;4;7771
23-09-2020;5;7685
23-09-2020;6;7771
23-09-2020;7;7897
23-09-2020;8;8026
23-09-2020;9;8437
23-09-2020;10;8856
23-09-2020;11;8996
23-09-2020;12;9094
23-09-2020;13;9192
23-09-2020;14;9221
23-09-2020;15;9193
23-09-2020;16;9116
23-09-2020;17;8991
23-09-2020;18;8785
23-09-2020;19;8652
23-09-2020;20;8974
23-09-2020;21;9460
23-09-2020;22;9395
23-09-2020;23;8982
23-09-2020;24;8643
24-09-2020;1;8334
24-09-2020;2;7997
24-09-2020;3;7717
24-09-2020;4;7620
24-09-2020;5;7560
24-09-2020;6;7579
24-09-2020;7;7804
24-09-2020;8;8106
24-09-2020;9;8634
24-09-2020;10;9059
24-09-2020;11;9234
24-09-2020;12;9344
24-09-2020;13;9405
24-09-2020;14;9485
24-09-2020;15;9488
24-09-2020;16;9377
24-09-2020;17;9247
24-09-2020;18;8886
24-09-2020;19;8648
24-09-2020;20;9016
24-09-2020;21;9686
24-09-2020;22;9620
24-09-2020;23;9360
24-09-2020;24;8942
25-09-2020;1;8606
25-09-2020;2;8245
25-09-2020;3;8011
25-09-2020;4;7821
25-09-2020;5;7819
25-09-2020;6;7878
25-09-2020;7;8095
25-09-2020;8;8417
25-09-2020;9;8933
25-09-2020;10;9398
25-09-2020;11;9676
25-09-2020;12;9877
25-09-2020;13;9927
25-09-2020;14;9949
25-09-2020;15;9919
25-09-2020;16;9778
25-09-2020;17;9667
25-09-2020;18;9380
25-09-2020;19;9073
25-09-2020;20;9358
25-09-2020;21;9822
25-09-2020;22;9644
25-09-2020;23;9218
25-09-2020;24;8868
26-09-2020;1;8663
26-09-2020;2;8251
26-09-2020;3;7995
26-09-2020;4;7809
26-09-2020;5;7761
26-09-2020;6;7694
26-09-2020;7;7841
26-09-2020;8;7891
26-09-2020;9;8068
26-09-2020;10;8450
26-09-2020;11;8660
26-09-2020;12;8789
26-09-2020;13;8812
26-09-2020;14;8792
26-09-2020;15;8710
26-09-2020;16;8570
26-09-2020;17;8468
26-09-2020;18;8298
26-09-2020;19;8222
26-09-2020;20;8553
26-09-2020;21;9228
26-09-2020;22;9164
26-09-2020;23;8913
26-09-2020;24;8537
27-09-2020;1;8050
27-09-2020;2;7603
27-09-2020;3;7369
27-09-2020;4;7201
27-09-2020;5;7216
27-09-2020;6;7210
27-09-2020;7;7203
27-09-2020;8;7179
27-09-2020;9;7186
27-09-2020;10;7468
27-09-2020;11;7732
27-09-2020;12;7949
27-09-2020;13;8073
27-09-2020;14;8223
27-09-2020;15;8192
27-09-2020;16;8002
27-09-2020;17;7934
27-09-2020;18;7890
27-09-2020;19;7984
27-09-2020;20;8370
27-09-2020;21;9085
27-09-2020;22;9130
27-09-2020;23;8952
27-09-2020;24;8691
28-09-2020;1;8258
28-09-2020;2;7887
28-09-2020;3;7654
28-09-2020;4;7554
28-09-2020;5;7489
28-09-2020;6;7507
28-09-2020;7;7768
28-09-2020;8;8177
28-09-2020;9;8713
28-09-2020;10;9262
28-09-2020;11;9448
28-09-2020;12;9519
28-09-2020;13;9474
28-09-2020;14;9438
28-09-2020;15;9433
28-09-2020;16;9352
28-09-2020;17;9266
28-09-2020;18;9097
28-09-2020;19;8825
28-09-2020;20;9118
28-09-2020;21;9630
28-09-2020;22;9553
28-09-2020;23;9190
28-09-2020;24;8906
29-09-2020;1;8522
29-09-2020;2;8109
29-09-2020;3;7852
29-09-2020;4;7759
29-09-2020;5;7761
29-09-2020;6;7815
29-09-2020;7;8054
29-09-2020;8;8369
