EMPRESA;CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";COMENTARIOS
ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG2;Diesel;20,42;258,7003693;
ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG1;Diesel;20,42;258,7003693;
ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 3 TG + TV;Gas Natural;240,97;66,92742975;La turbina a vapor TV opera sólo si la TG está encendida, pero no es obligatoria su operación
ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 3 TG;Gas Natural;156,35;40,79685943;La turbina a gas TG puede operar sola
ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 2;Carbón;156,61;53,81281972;
ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 1;Carbón;146,51;54,80250432;
ENGIE;DIÉSEL ARICA;ARICA M2;Diesel;2,12;177,0808126;
ENGIE;DIÉSEL ARICA;ARICA M1;Diesel;2,48;178,8618097;
ENGIE;DIÉSEL ARICA;ARICA GM;Diesel;8,61;179,7714523;
ENEL GENERACION;TARAPACA TG;TARAPACA TG DIE;Diesel;20,02;261,3440538;
ENEL GENERACION;TALTAL;TALTAL 2;Gas Natural;121,32;97,37194859;
ENEL GENERACION;TALTAL;TALTAL 1;Gas Natural;118,07;97,37194859;
ENEL GENERACION;SAN_ISIDRO_2;SAN ISIDRO 2 TG+TV;Gas Natural;395,86;62,35802562;La turbina a vapor TV opera sólo si la TG está encendida, pero no es obligatoria su operación
ENEL GENERACION;SAN_ISIDRO_2;SAN ISIDRO 2 TG;Gas Natural;257,31;90,94980699;
ENEL GENERACION;SAN_ISIDRO;SAN ISIDRO TG+TV;Gas Natural;408,70;63,03494781;La turbina a vapor TV opera sólo si la TG está encendida, pero no es obligatoria su operación
ENEL GENERACION;SAN_ISIDRO;SAN ISIDRO TG;Gas Natural;250,00;93,74572706;
ENEL GENERACION;QUINTERO;QUINTERO 1B;Gas Natural;128,10;101,4190449;
ENEL GENERACION;QUINTERO;QUINTERO 1A;Gas Natural;127,10;101,4190449;
ENEL GENERACION;HUASCO TG;HUASCO TG U3;Fuel Oil Nro. 6;19,23;225,6122094;
ENEL GENERACION;HUASCO TG;HUASCO TG U4;Fuel Oil Nro. 6;19,23;225,6122094;
ENEL GENERACION;HUASCO TG;HUASCO TG U5;Fuel Oil Nro. 6;19,23;225,6122094;
ENEL GENERACION;DIEGO DE ALMAGRO;DIEGO DE ALMAGRO;Diesel;23,6691;240,8805507;
ENEL GENERACION;TERMOELÉCTRICA BOCAMINA;BOCAMINA 2;Carbón;319,79;52,83995554;
ENEL GENERACION;ATACAMA;TG2B;Gas Natural;114,70;148,9360327;
ENEL GENERACION;ATACAMA;TG2A+TG2B+TV2;Gas Natural;364,41;67,03564064;La turbina a vapor TV2 opera sólo si las turbinas a gas TG2A y TG2B operan simultáneamente
ENEL GENERACION;ATACAMA;TG2A;Gas Natural;114,41;143,3497569;
ENEL GENERACION;ATACAMA;TG1B;Gas Natural;114,70;148,9360327;
ENEL GENERACION;ATACAMA;TG1A+TG1B+TV1;Gas Natural;363,58;67,03564064;La turbina a vapor TV1 opera sólo si las turbinas a gas TG1A y TG1B operan simultáneamente
ENEL GENERACION;ATACAMA;TG1A;Gas Natural;113,58;147,3497569;
EMELDA;EMELDA;EMELDA U2;Diesel;35,15;330,0981636;
EMELDA;EMELDA;EMELDA U1;Diesel;36,24;314,9122618;
ELEKTRAGEN;MAULE;MAULE;Diesel;6,00;245,2961725;
ELEKTRAGEN;CONSTITUCION 1;CONSTITUCION 1;Diesel;9,00;245,2961725;
ELEKTRAGEN;CHILOE;CHILOE;Diesel;9,06;193,148924;
ELÉCTRICA CAMPICHE;TERMOELÉCTRICA VENTANAS;CAMPICHE;Carbón;248,59;49,41267081;
COLBÚN;SANTA_MARIA;SANTA MARIA;Carbón;344,52;34,40460784;
COLBÚN;NEHUENCO;NEHUENCO 9B;Gas Natural;106,92;116,691794;
COLBÚN;NEHUENCO;NEHUENCO 2 TG+TV;Gas Natural;387,37;71,24746723;La turbina a vapor TV opera sólo si las turbinas a gas TG de Nehuenco 2 opera simultáneamente
COLBÚN;NEHUENCO;NEHUENCO 2 TG;Gas Natural;242,04;102,7107129;
