EMPRESA;CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";COMENTARIOS;EMPRESA;CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";"FACTOR EMISIONES 
(ton CO2/MWh)";COMBUSTIBLE;"FACTOR EMISIONES 
(ton CO2/MWh)";;
GUACOLDA;GUACOLDA;GUACOLDA 5;Carbón;142,67;60,72855805;;GUACOLDA;GUACOLDA;GUACOLDA 5;Carbón;142,67;60,72855805;131,296255;;;;
GUACOLDA;GUACOLDA;GUACOLDA 4;Carbón;142,31;55,5039896;;GUACOLDA;GUACOLDA;GUACOLDA 4;Carbón;142,31;55,5039896;130,9622006;;;;
GUACOLDA;GUACOLDA;GUACOLDA 3;Carbón;140,60;49,84328007;;GUACOLDA;GUACOLDA;GUACOLDA 3;Carbón;140,60;49,84328007;129,388556;;;;
GUACOLDA;GUACOLDA;GUACOLDA 2;Carbón;133,83;57,73533236;;GUACOLDA;GUACOLDA;GUACOLDA 2;Carbón;133,83;57,73533236;123,1583958;;;;
GUACOLDA;GUACOLDA;GUACOLDA 1;Carbón;142,31;56,90618925;;GUACOLDA;GUACOLDA;GUACOLDA 1;Carbón;142,31;56,90618925;130,9622006;;;;
GENPAC;TERMOPACIFICO;TERMOPACIFICO;Diesel;95,56;201,8700343;;GENPAC;TERMOPACIFICO;TERMOPACIFICO;Diesel;95,56;201,8700343;94,46620042;;;;
GENERADORA METROPOLITANA;SANTA_LIDIA;SANTA LIDIA;Diesel;140,88;189,0432121;;GENERADORA METROPOLITANA;SANTA_LIDIA;SANTA LIDIA;Diesel;140,88;189,0432121;139,2641064;;;;
GENERADORA METROPOLITANA;RENCA;RENCA U2;Diesel;47,68;257,1812353;;GENERADORA METROPOLITANA;RENCA;RENCA U2;Diesel;47,68;257,1812353;47,13212187;;;;
GENERADORA METROPOLITANA;RENCA;RENCA U1;Diesel;48,04;257,1812353;;GENERADORA METROPOLITANA;RENCA;RENCA U1;Diesel;48,04;257,1812353;47,49194679;;;;
GENERADORA METROPOLITANA;NUEVA_RENCA;NUEVA RENCA;Gas Natural;370,10;52,78270117;;GENERADORA METROPOLITANA;NUEVA_RENCA;NUEVA RENCA;Gas Natural;370,10;52,78270117;266,8421;;;;
GENERADORA METROPOLITANA;LOS VIENTOS;LOS VIENTOS;Diesel;131,87;184,8084008;;GENERADORA METROPOLITANA;LOS VIENTOS;LOS VIENTOS;Diesel;131,87;184,8084008;130,3564626;;;;
GAS SUR;NEWEN;NEWEN;Gas Natural;14,46;69,3495351;;GAS SUR;NEWEN;NEWEN;Gas Natural;14,46;69,3495351;10,426381;;;;
ESPINOS S.A.;OLIVOS;OLIVOS BL2;Diesel;19,20;238,0277215;;ESPINOS S.A.;OLIVOS;OLIVOS BL2;Diesel;19,20;238,0277215;18,979776;;;;
ESPINOS S.A.;OLIVOS;OLIVOS BL1;Diesel;96,00;198,7277215;;ESPINOS S.A.;OLIVOS;OLIVOS BL1;Diesel;96,00;198,7277215;94,89888;;;;
ESPINOS S.A.;LOS ESPINOS;ESPINOS BL2;Diesel;88,35;228,8408072;;ESPINOS S.A.;LOS ESPINOS;ESPINOS BL2;Diesel;88,35;228,8408072;87,3366255;;;;
ESPINOS S.A.;LOS ESPINOS;ESPINOS BL1;Diesel;35,65;187,4408072;;ESPINOS S.A.;LOS ESPINOS;ESPINOS BL1;Diesel;35,65;187,4408072;35,2410945;;;;
